ROW_ID,CGID,LABEL
1,1,RN
2,2,NP
3,3,NP
4,4,MD
5,5,RT
6,6,RN
7,7,RT
8,8,RT
9,9,MD
10,10,PA
11,11,NP
12,12,PA
13,13,NP
14,14,NP
15,15,NP
16,16,PA
17,17,PA
18,18,PA
19,19,RN
20,20,RN
21,21,MD
22,22,RN
23,23,RT
24,24,NP
25,25,RN
26,26,MD
27,27,NP
28,28,NP
29,29,MD
30,30,PA
31,31,RN
32,32,PA
33,33,MD
34,34,PA
35,35,NP
36,36,RT
37,37,RT
38,38,RT
39,39,MD
40,40,MD
41,41,PA
42,42,RN
43,43,RT
44,44,PA
45,45,RN
46,46,RN
47,47,RN
48,48,NP
49,49,PA
50,50,MD
51,51,RN
52,52,PA
53,53,PA
54,54,RT
55,55,PA
56,56,MD
57,57,NP
58,58,NP
59,59,RN
60,60,RN
61,61,RT
62,62,RT
63,63,NP
64,64,MD
65,65,MD
66,66,MD
67,67,PA
68,68,RT
69,69,NP
70,70,MD
71,71,RN
72,72,MD
73,73,NP
74,74,RT
75,75,MD
76,76,RN
77,77,RN
78,78,PA
79,79,RT
80,80,NP
81,81,NP
82,82,NP
83,83,RN
84,84,MD
85,85,RN
86,86,PA
87,87,MD
88,88,MD
89,89,RN
90,90,PA
91,91,PA
92,92,RN
93,93,RT
94,94,RN
95,95,RT
96,96,NP
97,97,PA
98,98,NP
99,99,MD
100,100,RN
