ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE
1,41401,Crnry athrscl natve vssl,Crnry athrscl natve vssl (long)
2,4280,CHF NOS,CHF NOS (long)
3,42731,Atrial fibrillation,Atrial fibrillation (long)
4,51881,Acute respiratry failure,Acute respiratry failure (long)
5,99591,Sepsis,Sepsis (long)
6,25000,Dmii wo cmp nt st uncntr,Dmii wo cmp nt st uncntr (long)
7,4019,Hypertension NOS,Hypertension NOS (long)
8,5849,Acute renal failure NOS,Acute renal failure NOS (long)
9,486,Pneumonia organism NOS,Pneumonia organism NOS (long)
10,2724,Hyperlipidemia NOS,Hyperlipidemia NOS (long)
11,43491,Cereb art ocl NOS w infrc,Cereb art ocl NOS w infrc (long)
12,53081,Esophageal reflux,Esophageal reflux (long)
13,7802,Syncope and collapse,Syncope and collapse (long)
14,78552,Septic shock,Septic shock (long)
15,40390,Hyp kid NOS w/o cr kid,Hyp kid NOS w/o cr kid (long)
16,2761,Hyposmolality,Hyposmolality (long)
17,2762,Acidosis,Acidosis (long)
18,27651,Dehydration,Dehydration (long)
19,5070,Food/vomit pneumonitis,Food/vomit pneumonitis (long)
20,0389,Unspecified septicemia,Unspecified septicemia (long)
21,99811,Hemorrhage compl proc,Hemorrhage compl proc (long)
22,V5861,Long-term use anticoags,Long-term use anticoags (long)
23,3051,Tobacco use disorder,Tobacco use disorder (long)
24,30500,Alcohol abuse-unspec,Alcohol abuse-unspec (long)
25,7840,Headache,Headache (long)
26,78659,Other chest pain,Other chest pain (long)
27,7891,Abdominal pain NOS,Abdominal pain NOS (long)
