ROW_ID,ITEMID,LABEL,FLUID,CATEGORY,LOINC_CODE
1,50818,pCO2,Blood,Blood Gas,
2,50820,pH,Blood,Blood Gas,
3,50821,pO2,Blood,Blood Gas,
4,50912,Creatinine,Blood,Chemistry,
5,50971,Potassium,Blood,Chemistry,
6,50983,Sodium,Blood,Chemistry,
7,51006,Urea Nitrogen,Blood,Chemistry,
8,51222,Hemoglobin,Blood,Hematology,
9,51265,Platelet Count,Blood,Hematology,
10,51279,Red Blood Cells,Blood,Hematology,
11,51301,White Blood Cells,Blood,Hematology,
12,50902,Chloride,Blood,Chemistry,
13,50931,Glucose,Blood,Chemistry,
14,50960,Magnesium,Blood,Chemistry,
15,50893,Calcium Total,Blood,Chemistry,
